Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12031340;6537101;6576174;13859031;
700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12055572;6566040;6219237;13818830;
800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12032913;6421773;6327404;13245422;
900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12031545;6696084;6667240;12954862;
1000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11993241;6800122;6666767;13355431;
1100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11975958;6937521;6994895;13618487;
1200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11965208;6543839;6614829;13236036;
1300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12002936;6586326;6672201;13792162;
1400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12003080;6829622;6774274;13425513;
1500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11971256;7018382;7116058;13839390;
1600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11955409;6580340;6686463;13806888;
1700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11903216;7049793;7159203;13876547;
1800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11912853;6791692;6827385;13126357;
1900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11935404;6568786;6539117;13514448;
2000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11965057;6538692;6508357;13249683;
2100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11947370;6763053;6852909;13326192;
2200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11866100;6676358;6533843;14026863;
2300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11890767;6590079;6728493;13382803;
2400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11907788;7003284;7113981;13575798;
2500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11839154;6967019;6975840;13728712;
2600;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11875554;6608621;6774036;13743438;
2700;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11827713;7049644;7174590;13613699;
2800;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11832228;7023273;7056226;13742334;
2900;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11787951;6779390;6966865;14150675;
3000;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11832559;7108230;7219707;13736441;
100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);814680;602249;608025;1137129;
200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);814946;614161;627072;1153560;
300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);820116;623050;642470;1163313;
400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);799210;632400;658355;1174967;
500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);808189;639615;658763;1192859;
600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);783993;654290;690434;1197989;
700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);783568;655733;700980;1216100;
800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);773359;675081;726897;1224390;
900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);765954;684824;743141;1234652;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);789778;692953;757715;1257679;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);762595;701967;773147;1262691;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);744300;706372;784024;1272229;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);758984;723229;807090;1289816;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);734335;725574;816175;1297395;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);737535;741590;838810;1309267;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);717462;744850;848412;1316855;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);742863;754645;864698;1342758;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);729802;773743;890239;1352708;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);690458;785255;908395;1352423;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);677912;792728;919920;1358285;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);702205;801840;937940;1379848;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);695422;805425;947998;1392675;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);664506;820708;969810;1401759;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);666158;833585;989171;1415470;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);645019;832961;994808;1421403;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);692784;850457;1018802;1442427;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);655074;859407;1034259;1442712;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);727930;866993;1048536;1487450;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);623437;880973;1068827;1469947;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 10'000 символов (2 символов подстановки);621039;883927;1069117;1478143;
100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8249202;5954841;5961260;11305164;
200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8227292;5894250;5907178;11301289;
300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8260603;5973390;5959861;11317169;
400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8213997;5972977;5972285;11303873;
500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8208673;5997973;6030297;11348680;
600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8209839;6002275;6041124;11351487;
700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8207917;6011075;6049521;11370606;
800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8183217;6028452;6080266;11383060;
900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8191778;6030772;6088533;11396673;
1000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8192534;5989321;5953671;11330202;
1100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8177342;6056147;6127413;11427735;
1200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8166409;6065300;6142728;11436343;
1300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8151886;6074291;6158356;11444438;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8179999;6071228;6128303;11446540;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8134948;6078729;6176034;11442819;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8166718;6113700;6217361;11496089;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8172212;6123694;6233933;11512710;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8171949;6118065;6234653;11497735;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8198082;6135379;6258440;11546182;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8142886;6155875;6285587;11549653;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8119764;6160215;6289945;11540437;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8138829;6089654;6232142;11561698;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8138210;6166023;6314952;11556753;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8108650;6171387;6327061;11507371;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8086658;6177853;6340064;11516907;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (2 символов подстановки);8136820;6200982;6369292;11620311;
